autotuner_id,root_opcode,distinct_choices,distinct_emitter_kinds,emitter_kinds,modal_share_pct,entropy_bits,modal_config,modal_config_id,run1_config_id,run2_config_id,run3_config_id,run4_config_id,run5_config_id
0e727aa04b98,bitcast,2,1,triton,80.0,0.7219280948873623,"triton(block_m=64,block_n=8,block_k=128,num_warps=2,num_stages=3,num_ctas=1,tma=true)",db730ddf9a74,db730ddf9a74,db730ddf9a74,db730ddf9a74,edaff9fc6510,db730ddf9a74
10748cc9fe91,convert,2,2,block_level/native_emitter,80.0,0.7219280948873623,native_emitter,b9a30111d616,8db73dcc0a6c,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
14f610826a7b,dot,2,1,gemm,80.0,0.7219280948873623,gemm,2c3d0e4b5b96,a61a29c65cb6,2c3d0e4b5b96,2c3d0e4b5b96,2c3d0e4b5b96,2c3d0e4b5b96
28f41183ad39,reduce,2,2,block_level/native_emitter,80.0,0.7219280948873623,native_emitter,b9a30111d616,dc552647cada,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
40282545a95d,reduce,2,2,block_level/native_emitter,80.0,0.7219280948873623,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,61fff816610b,b9a30111d616,b9a30111d616
4c0b5c841af2,convert,2,1,triton,80.0,0.7219280948873623,"triton(block_m=128,block_n=128,block_k=64,num_warps=4,num_stages=4,num_ctas=1,tma=true)",653ea87789a5,653ea87789a5,653ea87789a5,653ea87789a5,653ea87789a5,a8d430d9d282
542747a739cc,convert,2,1,gemm,80.0,0.7219280948873623,gemm(algorithm=3),488b3a29e726,488b3a29e726,a61a29c65cb6,488b3a29e726,488b3a29e726,488b3a29e726
552c9027431b,reduce,2,2,block_level/native_emitter,80.0,0.7219280948873623,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,7f3ce5435cb4,b9a30111d616,b9a30111d616
574685ffb4cb,reduce,2,2,block_level/native_emitter,80.0,0.7219280948873623,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,59f42eb0fc5a,b9a30111d616,b9a30111d616
5922efe6bb23,reduce,2,2,block_level/native_emitter,80.0,0.7219280948873623,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,7f3ce5435cb4
76f85f9a8e67,multiply,2,1,gemm,80.0,0.7219280948873623,gemm,2c3d0e4b5b96,2c3d0e4b5b96,2c3d0e4b5b96,2c3d0e4b5b96,fb1fac6bcf48,2c3d0e4b5b96
8165d22ee985,reduce,2,2,block_level/native_emitter,80.0,0.7219280948873623,native_emitter,b9a30111d616,839244672953,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
837115f2a1c5,dot,2,1,gemm,80.0,0.7219280948873623,gemm,2c3d0e4b5b96,2c3d0e4b5b96,2c3d0e4b5b96,2c3d0e4b5b96,e9ba3719df8b,2c3d0e4b5b96
85fda0c3c68c,convert,2,1,triton,80.0,0.7219280948873623,"triton(block_m=128,block_n=8,block_k=128,num_warps=4,num_stages=3,num_ctas=1,tma=true)",0e35adaaa5d3,0e35adaaa5d3,0e35adaaa5d3,0e35adaaa5d3,649d1c6321fe,0e35adaaa5d3
8ff9398b05bf,dot,2,1,triton,80.0,0.7219280948873623,"triton(block_m=32,block_n=8,block_k=32,num_warps=2,num_stages=4,num_ctas=1)",a6d16a06419a,a6d16a06419a,a6d16a06419a,a6d16a06419a,077ad98130b5,a6d16a06419a
909a7fedd034,dot,2,2,gemm/triton,80.0,0.7219280948873623,gemm,2c3d0e4b5b96,9bebf6a70068,2c3d0e4b5b96,2c3d0e4b5b96,2c3d0e4b5b96,2c3d0e4b5b96
b5b9c8d0a4b1,reduce,2,2,block_level/native_emitter,80.0,0.7219280948873623,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,989a0bd0fc32
bf941ac87db2,maximum,2,1,gemm,80.0,0.7219280948873623,gemm,2c3d0e4b5b96,2c3d0e4b5b96,2c3d0e4b5b96,2c3d0e4b5b96,2c3d0e4b5b96,a61a29c65cb6
c05605eb133e,reduce,2,2,block_level/native_emitter,80.0,0.7219280948873623,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,59f42eb0fc5a
cc8b2ff3dcd8,dot,2,1,triton,80.0,0.7219280948873623,"triton(block_m=16,block_n=16,block_k=16,num_warps=2,num_stages=1,num_ctas=1)",7bf34fc88f18,b7d5c641fe6d,7bf34fc88f18,7bf34fc88f18,7bf34fc88f18,7bf34fc88f18
d288e59e36d3,dot,2,1,gemm,80.0,0.7219280948873623,gemm(algorithm=1),a61a29c65cb6,a61a29c65cb6,a61a29c65cb6,a61a29c65cb6,d85dfc1e6341,a61a29c65cb6
0039579c8bdf,convert,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
00ebeb77de64,add,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
01c3dcab5956,exponential,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
029dde8c4161,gather,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
03bcfc2f4305,reduce,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
04448412d3a1,concatenate,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
06168e56b730,exponential,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
069caa34ac66,unknown,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
0722d0ed2df7,dynamic-update-slice,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
0902c1115b07,reduce,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
0b8fb55e4c0a,convert,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
0bee17049343,convert,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
0f3b7b06563e,broadcast,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
1049326b9cde,concatenate,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
10fb0eccc508,power,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
119f2da2f051,dynamic-slice,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
12594188ab07,convert,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
13035abf9f48,broadcast,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
1378a1248c5a,reduce,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
153fa45914b6,reduce,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
19b2bdfb7380,select,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
1c453bc029c9,reduce,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
1f467b241cd8,convert,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
23da3e322930,power,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
250a964bb4cf,broadcast,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
25cab9438ad1,reduce,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
25e71083357a,convert,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
278d35eba58e,unknown,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
285fb503380c,multiply,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
288f9c5462e2,unknown,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
28b0baab8467,unknown,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
298d06e31a12,reduce,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
29c6187f107c,dynamic-slice,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
2a70119dcba6,unknown,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
2aff1a298611,unknown,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
2c330ec8e462,concatenate,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
2dd9aa1a9769,convert,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
2fb0f306d383,multiply,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
31bf62a16d9f,multiply,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
328597fff47f,unknown,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
329d3230f7bb,dynamic-slice,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
33319400a995,bitcast,1,1,triton,100.0,-0.0,"triton(block_m=64,block_n=8,block_k=128,num_warps=4,num_stages=3,num_ctas=1)",edaff9fc6510,edaff9fc6510,edaff9fc6510,edaff9fc6510,edaff9fc6510,edaff9fc6510
33844790f655,unknown,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
39960c92d798,exponential,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
3e37ee8e77e6,reduce,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
410da2ddbff5,broadcast,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
431773e2c529,select,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
4ba2241c1a92,unknown,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
4d366921ba1b,concatenate,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
4defa52f5301,unknown,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
4e4f56cad41b,slice,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
4e6af87c54f9,add,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
506da9d41f02,reduce,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
5195248cab8e,dynamic-slice,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
529b487b2b27,reduce,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
54285e77e4d4,gather,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
55c1c48a6934,reduce,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
563a99e8f57d,reduce,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
57cd215827b7,dynamic-slice,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
57d61c28dae6,pad,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
5a7b4ea93755,unknown,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
5c077f97e830,multiply,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
5c843fb79c6b,unknown,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
5c8e118ee6f0,convert,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
5ec905c568ef,convert,1,1,native_emitter,100.0,-0.0,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616
